genre#NN	$-genre#NN
for#IN	$-for#IN
gone#VVN	B-movie.name
with#IN	I-movie.name
the#DT	I-movie.name
wind#NN	I-movie.name

who#WP	$-who#WP
was#VBD	$-was#VBD
the#DT	$-the#DT
main#JJ	$-main#JJ
actor#NN	$-actor#NN
in#IN	$-in#IN
the#DT	B-movie.name
exorcist#NN	I-movie.name

what#WP	$-what#WP
was#VBD	$-was#VBD
the#DT	$-the#DT
budget#NN	$-budget#NN
for#IN	$-for#IN
courageous#JJ	B-movie.name

i#NNS	$-i#NNS
need#VVP	$-need#VVP
to#TO	$-to#TO
see#VV	$-see#VV
a#DT	$-a#DT
list#NN	$-list#NN
of#IN	$-of#IN
pg#NN	B-rating.name
movies#NNS	$-movies#NNS

get#VV	$-get#VV
me#PP	$-me#PP
spanish#JJ	B-movie.language
movies#NNS	$-movies#NNS

search#NN	$-search#NN
for#IN	$-for#IN
information#NN	$-information#NN
about#IN	$-about#IN
robert#NN	B-person.name
wise#NN	I-person.name

budget#NN	$-budget#NN
for#IN	$-for#IN
twilight#NN	B-movie.name
breaking#VVG	I-movie.name
dawn#NN	I-movie.name

star#NN	$-star#NN
of#IN	$-of#IN
troy#NN	B-movie.name

how#WRB	$-how#WRB
much#JJ	$-much#JJ
revenue#NN	$-revenue#NN
did#VVD	$-did#VVD
lord#NN	B-movie.name
of#IN	I-movie.name
the#DT	I-movie.name
rings#NNS	I-movie.name
get#VVP	$-get#VVP

find#VV	$-find#VV
the#DT	$-the#DT
female#JJ	$-female#JJ
actress#NN	$-actress#NN
from#IN	$-from#IN
the#DT	$-the#DT
movie#NN	$-movie#NN
she#PP	B-movie.name
's#VBZ	I-movie.name
the#DT	I-movie.name
man#NN	I-movie.name

search#NN	$-search#NN
for#IN	$-for#IN
movies#NNS	$-movies#NNS
with#IN	$-with#IN
a#DT	$-a#DT
pg#NN	B-rating.name
rating#NN	$-rating#NN

what#WP	$-what#WP
was#VBD	$-was#VBD
revenue#NN	$-revenue#NN
made#VVN	$-made#VVN
from#IN	$-from#IN
the#DT	$-the#DT
movie#NN	$-movie#NN
great#JJ	B-movie.name
debaters#NNS	I-movie.name

tell#VV	$-tell#VV
about#IN	$-about#IN
star#NN	B-movie.name
wars#NNS	I-movie.name
iv#NN	I-movie.name

show#VV	$-show#VV
me#PP	$-me#PP
the#DT	$-the#DT
music#NN	$-music#NN
composer#NN	$-composer#NN
for#IN	$-for#IN
the#DT	$-the#DT
movie#NN	$-movie#NN

i#NNS	$-i#NNS
want#VVP	$-want#VVP
to#TO	$-to#TO
know#VV	$-know#VV
the#DT	$-the#DT
director#NN	$-director#NN
of#IN	$-of#IN
finding#VVG	B-movie.name
nemo#NN	I-movie.name

who#WP	$-who#WP
is#VBZ	$-is#VBZ
the#DT	$-the#DT
producer#NN	$-producer#NN
of#IN	$-of#IN
the#DT	B-movie.name
godfather#NN	I-movie.name

what#WP	$-what#WP
country#NN	$-country#NN
did#VVD	$-did#VVD
the#DT	$-the#DT
nine#CD	B-movie.release_date
fourteen#NN	I-movie.release_date
twenty#CD	I-movie.release_date
twelve#NN	I-movie.release_date
release#NN	$-release#NN
of#IN	$-of#IN
barfi#NNS	B-movie.name
come#VVN	$-come#VVN
from#IN	$-from#IN

who#WP	$-who#WP
are#VBP	$-are#VBP
the#DT	$-the#DT
producers#NNS	$-producers#NNS
for#IN	$-for#IN
the#DT	$-the#DT
movie#NN	$-movie#NN
hitch#NN	B-movie.name

director#NN	$-director#NN
of#IN	$-of#IN
harry#VV	B-movie.name
potter#NN	I-movie.name

list#NN	$-list#NN
of#IN	$-of#IN
dax#NN	B-actor.name
shepard#NN	I-actor.name
movies#NNS	$-movies#NNS

find#VV	$-find#VV
movies#NNS	$-movies#NNS
produced#VVN	$-produced#VVN
by#IN	$-by#IN
castle#NN	B-producer.name
rock#NN	I-producer.name
entertainment#NN	I-producer.name

stephen#NN	B-director.name
king#NN	I-director.name
directed#VVD	$-directed#VVD
what#WP	$-what#WP
movie#NN	$-movie#NN

find#VV	$-find#VV
movies#NNS	$-movies#NNS
about#IN	$-about#IN
us#PP	B-movie.subject
government#NN	I-movie.subject

i#NNS	$-i#NNS
want#VVP	$-want#VVP
to#TO	$-to#TO
see#VV	$-see#VV
movies#NNS	$-movies#NNS
from#IN	$-from#IN
spain#NN	B-country.name

did#VVD	$-did#VVD
the#DT	$-the#DT
dad#NN	B-character.name
in#IN	$-in#IN
daddy#NN	B-movie.name
daycare#NN	I-movie.name
also#RB	$-also#RB
play#VV	$-play#VV
in#IN	$-in#IN
dr#NN	B-movie.name
doolittle#NN	I-movie.name

it#PP	$-it#PP
is#VBZ	$-is#VBZ
hard#JJ	$-hard#JJ
to#TO	$-to#TO
find#VV	$-find#VV
a#DT	$-a#DT
movie#NN	$-movie#NN
that#WDT	$-that#WDT
is#VBZ	$-is#VBZ
rated#VVN	$-rated#VVN
g#NN	B-rating.name
anymore#RB	$-anymore#RB

who#WP	$-who#WP
was#VBD	$-was#VBD
the#DT	$-the#DT
producer#NN	$-producer#NN
for#IN	$-for#IN
the#DT	B-movie.name
amazing#JJ	I-movie.name
spiderman#NN	I-movie.name

find#VV	$-find#VV
revenue#NN	$-revenue#NN
from#IN	$-from#IN
my#PP$	B-movie.name
boys#NNS	I-movie.name

alfred#NP	B-person.name
hitchcock#NN	I-person.name

how#WRB	$-how#WRB
much#JJ	$-much#JJ
money#NN	$-money#NN
did#VVD	$-did#VVD
bananas#NNS	B-movie.name
make#VV	$-make#VV

what#WP	$-what#WP
country#NN	$-country#NN
was#VBD	$-was#VBD
kinky#JJ	B-movie.name
boots#NNS	I-movie.name
made#VVN	$-made#VVN
in#IN	$-in#IN

can#MD	$-can#MD
i#NNS	$-i#NNS
get#VV	$-get#VV
a#DT	$-a#DT
list#NN	$-list#NN
of#IN	$-of#IN
movies#NNS	$-movies#NNS
available#JJ	$-available#JJ
in#IN	$-in#IN
english#NN	B-movie.language

was#VBD	$-was#VBD
what#WP	$-what#WP
tom#NN	B-actor.name
cruise#NN	I-actor.name
's#POS	$-'s#POS
first#JJ	$-first#JJ
movie#NN	$-movie#NN

tell#VV	$-tell#VV
me#PP	$-me#PP
about#IN	$-about#IN
the#DT	$-the#DT
movie#NN	$-movie#NN
the#DT	B-movie.name
campaign#NN	I-movie.name
in#IN	$-in#IN
detail#NN	$-detail#NN

what#WP	$-what#WP
movies#NNS	$-movies#NNS
are#VBP	$-are#VBP
related#VVN	$-related#VVN
to#TO	$-to#TO
in#IN	B-movie.name
july#RB	I-movie.name

show#VV	$-show#VV
me#PP	$-me#PP
only#JJ	$-only#JJ
movies#NNS	$-movies#NNS
with#IN	$-with#IN
harrison#NN	B-actor.name
ford#NN	I-actor.name

list#NN	$-list#NN
movie#NN	$-movie#NN
ratings#NNS	$-ratings#NNS
for#IN	$-for#IN
us#PP	B-country.name
movie#NN	$-movie#NN
looper#NN	B-movie.name

find#VV	$-find#VV
movies#NNS	$-movies#NNS
about#IN	$-about#IN
love#NN	B-movie.subject

company#NN	$-company#NN
that#IN/that	$-that#IN/that
produced#VVN	$-produced#VVN
iron#NN	B-movie.name
man#NN	I-movie.name

show#VV	$-show#VV
me#PP	$-me#PP
movies#NNS	$-movies#NNS
in#IN	$-in#IN
swedish#NN	B-movie.language

show#VV	$-show#VV
me#PP	$-me#PP
movies#NNS	$-movies#NNS
starring#VVG	$-starring#VVG
denzel#NN	B-actor.name
washington#NN	I-actor.name

i#NP	$-i#NP
would#MD	$-would#MD
like#VV	$-like#VV
to#TO	$-to#TO
see#VV	$-see#VV
finding#VVG	B-movie.name
nemo#NP	I-movie.name
's#POS	$-'s#POS
page#NN	$-page#NN

list#NN	$-list#NN
all#DT	$-all#DT
movies#NNS	$-movies#NNS
rated#VVN	$-rated#VVN
pg-13#NN	B-rating.name

classic#JJ	B-movie.subject
car#NN	I-movie.subject
movies#NNS	$-movies#NNS

bring#VV	$-bring#VV
up#RP	$-up#RP
all#DT	$-all#DT
director#NN	$-director#NN
movies#NNS	$-movies#NNS

show#VV	$-show#VV
me#PP	$-me#PP
spielberg#NP	B-person.name
's#POS	$-'s#POS
info#NN	$-info#NN

show#VV	$-show#VV
me#PP	$-me#PP
movies#NNS	$-movies#NNS
that#WDT	$-that#WDT
made#VVD	$-made#VVD
more#JJR	B-movie.gross_revenue
than#IN	I-movie.gross_revenue
ten#CD	I-movie.gross_revenue
million#CD	I-movie.gross_revenue

show#VV	$-show#VV
me#PP	$-me#PP
the#DT	$-the#DT
movies#NNS	$-movies#NNS
that#IN/that	$-that#IN/that
james#NNS	B-producer.name
cameron#NN	I-producer.name
has#VHZ	$-has#VHZ
produced#VVN	$-produced#VVN

i#NNS	$-i#NNS
want#VVP	$-want#VVP
to#TO	$-to#TO
see#VV	$-see#VV
movies#NNS	$-movies#NNS
about#IN	$-about#IN
gardening#NN	B-movie.subject

director#NN	$-director#NN
of#IN	$-of#IN
the#DT	B-movie.name
avengers#NNS	I-movie.name

show#VV	$-show#VV
me#PP	$-me#PP
finding#VVG	B-movie.name
nemo#NN	I-movie.name

what#WP	$-what#WP
genre#NN	$-genre#NN
is#VBZ	$-is#VBZ
the#DT	$-the#DT
jaws#NN	B-movie.name
movies#NNS	$-movies#NNS

list#NN	$-list#NN
tom#NN	B-actor.name
hanks#VVZ	I-actor.name
movies#NNS	$-movies#NNS
for#IN	$-for#IN
me#PP	$-me#PP

show#NN	$-show#NN
brad#NN	B-actor.name
pitt#NN	I-actor.name
movies#NNS	$-movies#NNS
nominated#VVN	$-nominated#VVN
for#IN	$-for#IN
oscars#NNS	B-award.ceremony

actor#NN	$-actor#NN
from#IN	$-from#IN
modern#JJ	B-movie.name
family#NN	I-movie.name

i#NNS	$-i#NNS
want#VVP	$-want#VVP
to#TO	$-to#TO
look#VV	$-look#VV
up#RP	$-up#RP
information#NN	$-information#NN
about#IN	$-about#IN
the#DT	$-the#DT
movie#NN	$-movie#NN
hotel#NN	B-movie.name
transylvania#NN	I-movie.name

who#WP	$-who#WP
is#VBZ	$-is#VBZ
the#DT	$-the#DT
person#NN	$-person#NN
that#WDT	$-that#WDT
directed#VVD	$-directed#VVD
the#DT	$-the#DT
film#NN	$-film#NN
the#DT	B-movie.name
dark#JJ	I-movie.name
knight#NN	I-movie.name

how#WRB	$-how#WRB
many#JJ	$-many#JJ
minutes#NNS	$-minutes#NNS
is#VBZ	$-is#VBZ
in#IN	B-movie.name
july#RB	I-movie.name

how#WRB	$-how#WRB
much#RB	$-much#RB
did#VVD	$-did#VVD
batman#NN	B-movie.name
begins#VVZ	I-movie.name
cost#NN	$-cost#NN

production#NN	$-production#NN
company#NN	$-company#NN
for#IN	$-for#IN
amityville#NN	B-movie.name
horror#NN	I-movie.name

universal#JJ	B-producer.name
how#WRB	$-how#WRB
many#JJ	$-many#JJ
producers#NNS	$-producers#NNS
work#VVP	$-work#VVP
to#TO	$-to#TO
put#VV	$-put#VV
a#DT	$-a#DT
movie#NN	$-movie#NN
production#NN	$-production#NN
together#RB	$-together#RB

search#NN	$-search#NN
disney#NN	B-producer.name
pictures#NNS	I-producer.name

will#MD	B-actor.name
ferell#NP	I-actor.name
videos#NNS	$-videos#NNS

usa#NN	B-movie.release_region
release#NN	$-release#NN
date#NN	$-date#NN
for#IN	$-for#IN
the#DT	$-the#DT
film#NN	$-film#NN
little#JJ	B-movie.name
women#NNS	I-movie.name

give#VV	$-give#VV
me#PP	$-me#PP
a#DT	$-a#DT
list#NN	$-list#NN
of#IN	$-of#IN
directors#NNS	$-directors#NNS

list#VV	$-list#VV
all#DT	$-all#DT
movies#NNS	$-movies#NNS
that#IN/that	$-that#IN/that
walt#NP	B-producer.name
disney#NP	I-producer.name
produced#VVD	$-produced#VVD

snow#NN	B-movie.name
white#NN	I-movie.name
and#CC	I-movie.name
the#DT	I-movie.name
huntsman#NN	I-movie.name
revenue#NN	$-revenue#NN

find#VV	$-find#VV
movies#NNS	$-movies#NNS
in#IN	$-in#IN
italian#NN	B-movie.language

bings#NNS	$-bings#NNS
movie#NN	$-movie#NN
page#NN	$-page#NN
finding#VVG	B-movie.name
nemo#NN	I-movie.name

a#DT	$-a#DT
list#NN	$-list#NN
of#IN	$-of#IN
all#DT	$-all#DT
italian#JJ	B-movie.language
speaking#NN	I-movie.language
movies#NNS	$-movies#NNS

what#WP	$-what#WP
were#VBD	$-were#VBD
production#NN	$-production#NN
costs#NNS	$-costs#NNS
for#IN	$-for#IN
black#JJ	B-movie.name
swan#NN	I-movie.name

show#NN	$-show#NN
trailer#NN	$-trailer#NN
for#IN	$-for#IN
the#DT	B-movie.name
campaign#NN	I-movie.name

can#MD	$-can#MD
i#NNS	$-i#NNS
see#VV	$-see#VV
the#DT	B-movie.name
lion#NN	I-movie.name
king#NN	I-movie.name
's#POS	$-'s#POS
revenue#NN	$-revenue#NN

only#JJ	$-only#JJ
show#NN	$-show#NN
movies#NNS	$-movies#NNS
rated#VVN	$-rated#VVN
pg#NN	B-rating.name

how#WRB	$-how#WRB
many#JJ	$-many#JJ
minutes#NNS	$-minutes#NNS
is#VBZ	$-is#VBZ
life#NN	B-movie.name
is#VBZ	I-movie.name
beautfiul#NN	I-movie.name

director#NN	$-director#NN
for#IN	$-for#IN
titanic#JJ	B-movie.name

who#WP	$-who#WP
was#VBD	$-was#VBD
mirror#NN	B-movie.name
's#POS	$-'s#POS
producer#NN	$-producer#NN

please#UH	$-please#UH
give#VV	$-give#VV
me#PP	$-me#PP
a#DT	$-a#DT
dutch#NN	B-country.name
movie#NN	$-movie#NN
listing#NN	$-listing#NN

what#WP	$-what#WP
are#VBP	$-are#VBP
the#DT	$-the#DT
top#JJ	$-top#JJ
rated#VVN	$-rated#VVN
movies#NNS	$-movies#NNS
this#DT	B-movie.release_date
year#NN	I-movie.release_date

who#WP	$-who#WP
produced#VVD	$-produced#VVD
the#DT	$-the#DT
movie#NN	$-movie#NN
cars#NNS	B-movie.name

list#NN	$-list#NN
films#NNS	$-films#NNS
concerning#VVG	$-concerning#VVG
the#DT	$-the#DT
country#NN	$-country#NN
of#IN	$-of#IN
france#NN	B-movie.subject

display#NN	$-display#NN
movies#NNS	$-movies#NNS
