who	O
plays	$1
luke	B-character.name
on	$2
star	B-movie.name
wars	I-movie.name
new	I-movie.name
hope	I-movie.name

show	O
credits	O
for	$2
the	B-movie.name
godfather	I-movie.name

who	O
was	O
the	O
main	O
actor	O
in	$2
the	B-movie.name
exorcist	I-movie.name

find	O
the	O
female	O
actress	O
from	O
the	O
movie	$2
she	B-movie.name
's	I-movie.name
the	I-movie.name
man	I-movie.name

who	O
played	$1
dory	B-character.name
on	$2
finding	B-movie.name
nemo	I-movie.name

who	O
was	O
the	O
female	O
lead	O
in	$2
resident	B-movie.name
evil	I-movie.name

who	O
played	$1
guido	B-character.name
in	$2
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name

who	O
was	O
the	O
co-star	O
in	$2
shoot	B-movie.name
to	I-movie.name
kill	I-movie.name

find	O
the	O
guy	O
who	O
plays	$1
charlie	B-character.name
on	$2
charlie	B-movie.name
's	I-movie.name
angels	I-movie.name

cast	O
and	O
crew	O
of	O
movie	$2
the	B-movie.name
campaign	I-movie.name

cast	O
and	O
crew	O
of	$2
the	B-movie.name
campaign	I-movie.name

who	O
plays	O
in	O
the	O
movie	$2
the	B-movie.name
campaign	I-movie.name

who	O
starred	O
in	$2
the	B-movie.name
campaign	I-movie.name

who	O
were	O
the	O
crew	O
for	$2
the	B-movie.name
campaign	I-movie.name

who	O
was	O
the	O
lead	O
man	O
in	$2
taxi	B-movie.name
driver	I-movie.name

star	O
of	$2
twilight	B-movie.name

who	O
stars	O
in	$2
vulgaria	B-movie.name

what	O
are	O
the	O
names	O
of	O
female	O
actors	O
who	O
played	O
in	$2
lost	B-movie.name

can	O
i	O
see	O
the	O
set	O
list	O
and	O
cast	O
for	$2
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name

cast	O
and	O
crew	O
of	$2
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name

show	O
cast	O
and	O
crew	O
for	O
the	O
movie	$2
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name

what	O
's	O
the	O
cast	O
for	$2
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name

who	O
played	O
in	$2
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name

who	O
played	O
in	$2
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name

who	O
was	O
in	$2
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name

who	O
were	$4
roberto	B-actor.name
benigni	I-actor.name
's	O
costars	O
on	$2
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name

i	O
am	O
looking	O
for	O
the	O
actor	O
that	O
played	O
in	$2
pretty	B-movie.name
women	I-movie.name

star	O
of	$2
troy	B-movie.name

who	O
played	$1
robin	B-character.name
in	$2
batman	B-movie.name
forever	I-movie.name

find	O
the	O
male	O
actor	O
from	$2
dirty	B-movie.name
harry	I-movie.name

show	O
me	O
the	O
actor	O
of	O
the	$2
ranam	B-movie.name

rocky	B-movie.name
actor	O

what	O
actor	O
played	O
in	$2
the	B-movie.name
amazing	I-movie.name
spider	I-movie.name
man	I-movie.name

who	O
are	O
the	O
actors	O
in	$2
captain	B-movie.name
america	I-movie.name

who	O
starred	O
in	$2
captain	B-movie.name
america	I-movie.name

who	O
was	O
in	O
the	O
movie	$2
captain	B-movie.name
america	I-movie.name

who	O
were	O
the	O
cast	O
members	O
in	$2
the	B-movie.name
hobbist	I-movie.name

show	O
me	O
the	O
actor	O
of	O
the	O
movie	$2
varsham	B-movie.name

which	O
female	O
actors	O
starred	O
in	$2
hitch	B-movie.name

can	O
i	O
see	O
the	O
cast	O
and	O
crew	O
for	O
the	O
movie	$2
in	B-movie.name
july	I-movie.name

list	O
cast	O
and	O
crew	$2
in	B-movie.name
july	I-movie.name

who	O
stars	O
in	$2
in	B-movie.name
july	I-movie.name

who	O
stars	O
in	$2
in	B-movie.name
july	I-movie.name

roll	O
credits	O
for	$2
top	B-movie.name
gun	I-movie.name

show	O
me	O
the	O
actor	O
of	O
the	O
movie	$2
sirisiri	B-movie.name
muvva	I-movie.name

rocky	B-movie.name
2	O
actor	O

who	O
is	$1
chewbakka	B-character.name

who	O
stared	O
in	$2
i	B-movie.name
love	I-movie.name
lucy	I-movie.name

apollo	B-movie.name
thirteen	I-movie.name
cast	O
members	O

can	O
you	O
tell	O
me	O
more	O
about	O
the	O
cast	O
and	O
crew	O
of	O
the	O
movie	$2
apollo	B-movie.name
thirteen	I-movie.name

cast	O
and	O
crew	O
for	$2
apollo	B-movie.name
thirteen	I-movie.name

castmembers	O
