genre	$-genre
for	$-for
gone	B-movie.name
with	I-movie.name
the	I-movie.name
wind	I-movie.name

who	$-who
was	$-was
the	$-the
main	$-main
actor	$-actor
in	$-in
the	B-movie.name
exorcist	I-movie.name

what	$-what
was	$-was
the	$-the
budget	$-budget
for	$-for
courageous	B-movie.name

i	$-i
need	$-need
to	$-to
see	$-see
a	$-a
list	$-list
of	$-of
pg	B-rating.name
movies	$-movies

get	$-get
me	$-me
spanish	B-movie.language
movies	$-movies

search	$-search
for	$-for
information	$-information
about	$-about
robert	B-person.name
wise	I-person.name

budget	$-budget
for	$-for
twilight	B-movie.name
breaking	I-movie.name
dawn	I-movie.name

star	$-star
of	$-of
troy	B-movie.name

how	$-how
much	$-much
revenue	$-revenue
did	$-did
lord	B-movie.name
of	I-movie.name
the	I-movie.name
rings	I-movie.name
get	$-get

find	$-find
the	$-the
female	$-female
actress	$-actress
from	$-from
the	$-the
movie	$-movie
she	B-movie.name
's	I-movie.name
the	I-movie.name
man	I-movie.name

search	$-search
for	$-for
movies	$-movies
with	$-with
a	$-a
pg	B-rating.name
rating	$-rating

what	$-what
was	$-was
revenue	$-revenue
made	$-made
from	$-from
the	$-the
movie	$-movie
great	B-movie.name
debaters	I-movie.name

tell	$-tell
about	$-about
star	B-movie.name
wars	I-movie.name
iv	I-movie.name

show	$-show
me	$-me
the	$-the
music	$-music
composer	$-composer
for	$-for
the	$-the
movie	$-movie

i	$-i
want	$-want
to	$-to
know	$-know
the	$-the
director	$-director
of	$-of
finding	B-movie.name
nemo	I-movie.name

who	$-who
is	$-is
the	$-the
producer	$-producer
of	$-of
the	B-movie.name
godfather	I-movie.name

what	$-what
country	$-country
did	$-did
the	$-the
nine	B-movie.release_date
fourteen	I-movie.release_date
twenty	I-movie.release_date
twelve	I-movie.release_date
release	$-release
of	$-of
barfi	B-movie.name
come	$-come
from	$-from

who	$-who
are	$-are
the	$-the
producers	$-producers
for	$-for
the	$-the
movie	$-movie
hitch	B-movie.name

director	$-director
of	$-of
harry	B-movie.name
potter	I-movie.name

list	$-list
of	$-of
dax	B-actor.name
shepard	I-actor.name
movies	$-movies

find	$-find
movies	$-movies
produced	$-produced
by	$-by
castle	B-producer.name
rock	I-producer.name
entertainment	I-producer.name

stephen	B-director.name
king	I-director.name
directed	$-directed
what	$-what
movie	$-movie

find	$-find
movies	$-movies
about	$-about
us	B-movie.subject
government	I-movie.subject

i	$-i
want	$-want
to	$-to
see	$-see
movies	$-movies
from	$-from
spain	B-country.name

did	$-did
the	$-the
dad	B-character.name
in	$-in
daddy	B-movie.name
daycare	I-movie.name
also	$-also
play	$-play
in	$-in
dr	B-movie.name
doolittle	I-movie.name

it	$-it
is	$-is
hard	$-hard
to	$-to
find	$-find
a	$-a
movie	$-movie
that	$-that
is	$-is
rated	$-rated
g	B-rating.name
anymore	$-anymore

who	$-who
was	$-was
the	$-the
producer	$-producer
for	$-for
the	B-movie.name
amazing	I-movie.name
spiderman	I-movie.name

find	$-find
revenue	$-revenue
from	$-from
my	B-movie.name
boys	I-movie.name

alfred	B-person.name
hitchcock	I-person.name

how	$-how
much	$-much
money	$-money
did	$-did
bananas	B-movie.name
make	$-make

what	$-what
country	$-country
was	$-was
kinky	B-movie.name
boots	I-movie.name
made	$-made
in	$-in

can	$-can
i	$-i
get	$-get
a	$-a
list	$-list
of	$-of
movies	$-movies
available	$-available
in	$-in
english	B-movie.language

was	$-was
what	$-what
tom	B-actor.name
cruise	I-actor.name
's	$-'s
first	$-first
movie	$-movie

tell	$-tell
me	$-me
about	$-about
the	$-the
movie	$-movie
the	B-movie.name
campaign	I-movie.name
in	$-in
detail	$-detail

what	$-what
movies	$-movies
are	$-are
related	$-related
to	$-to
in	B-movie.name
july	I-movie.name

show	$-show
me	$-me
only	$-only
movies	$-movies
with	$-with
harrison	B-actor.name
ford	I-actor.name

list	$-list
movie	$-movie
ratings	$-ratings
for	$-for
us	B-country.name
movie	$-movie
looper	B-movie.name

find	$-find
movies	$-movies
about	$-about
love	B-movie.subject

company	$-company
that	$-that
produced	$-produced
iron	B-movie.name
man	I-movie.name

show	$-show
me	$-me
movies	$-movies
in	$-in
swedish	B-movie.language

show	$-show
me	$-me
movies	$-movies
starring	$-starring
denzel	B-actor.name
washington	I-actor.name

i	$-i
would	$-would
like	$-like
to	$-to
see	$-see
finding	B-movie.name
nemo	I-movie.name
's	$-'s
page	$-page

list	$-list
all	$-all
movies	$-movies
rated	$-rated
pg-13	B-rating.name

classic	B-movie.subject
car	I-movie.subject
movies	$-movies

bring	$-bring
up	$-up
all	$-all
director	$-director
movies	$-movies

show	$-show
me	$-me
spielberg	B-person.name
's	$-'s
info	$-info

show	$-show
me	$-me
movies	$-movies
that	$-that
made	$-made
more	B-movie.gross_revenue
than	I-movie.gross_revenue
ten	I-movie.gross_revenue
million	I-movie.gross_revenue

show	$-show
me	$-me
the	$-the
movies	$-movies
that	$-that
james	B-producer.name
cameron	I-producer.name
has	$-has
produced	$-produced

i	$-i
want	$-want
to	$-to
see	$-see
movies	$-movies
about	$-about
gardening	B-movie.subject

director	$-director
of	$-of
the	B-movie.name
avengers	I-movie.name

show	$-show
me	$-me
finding	B-movie.name
nemo	I-movie.name

what	$-what
genre	$-genre
is	$-is
the	$-the
jaws	B-movie.name
movies	$-movies

list	$-list
tom	B-actor.name
hanks	I-actor.name
movies	$-movies
for	$-for
me	$-me

show	$-show
brad	B-actor.name
pitt	I-actor.name
movies	$-movies
nominated	$-nominated
for	$-for
oscars	B-award.ceremony

actor	$-actor
from	$-from
modern	B-movie.name
family	I-movie.name

i	$-i
want	$-want
to	$-to
look	$-look
up	$-up
information	$-information
about	$-about
the	$-the
movie	$-movie
hotel	B-movie.name
transylvania	I-movie.name

who	$-who
is	$-is
the	$-the
person	$-person
that	$-that
directed	$-directed
the	$-the
film	$-film
the	B-movie.name
dark	I-movie.name
knight	I-movie.name

how	$-how
many	$-many
minutes	$-minutes
is	$-is
in	B-movie.name
july	I-movie.name

how	$-how
much	$-much
did	$-did
batman	B-movie.name
begins	I-movie.name
cost	$-cost

production	$-production
company	$-company
for	$-for
amityville	B-movie.name
horror	I-movie.name

universal	B-producer.name
how	$-how
many	$-many
producers	$-producers
work	$-work
to	$-to
put	$-put
a	$-a
movie	$-movie
production	$-production
together	$-together

search	$-search
disney	B-producer.name
pictures	I-producer.name

will	B-actor.name
ferell	I-actor.name
videos	$-videos

usa	B-movie.release_region
release	$-release
date	$-date
for	$-for
the	$-the
film	$-film
little	B-movie.name
women	I-movie.name

give	$-give
me	$-me
a	$-a
list	$-list
of	$-of
directors	$-directors

list	$-list
all	$-all
movies	$-movies
that	$-that
walt	B-producer.name
disney	I-producer.name
produced	$-produced

snow	B-movie.name
white	I-movie.name
and	I-movie.name
the	I-movie.name
huntsman	I-movie.name
revenue	$-revenue

find	$-find
movies	$-movies
in	$-in
italian	B-movie.language

bings	$-bings
movie	$-movie
page	$-page
finding	B-movie.name
nemo	I-movie.name

a	$-a
list	$-list
of	$-of
all	$-all
italian	B-movie.language
speaking	I-movie.language
movies	$-movies

what	$-what
were	$-were
production	$-production
costs	$-costs
for	$-for
black	B-movie.name
swan	I-movie.name

show	$-show
trailer	$-trailer
for	$-for
the	B-movie.name
campaign	I-movie.name

can	$-can
i	$-i
see	$-see
the	B-movie.name
lion	I-movie.name
king	I-movie.name
's	$-'s
revenue	$-revenue

only	$-only
show	$-show
movies	$-movies
rated	$-rated
pg	B-rating.name

how	$-how
many	$-many
minutes	$-minutes
is	$-is
life	B-movie.name
is	I-movie.name
beautfiul	I-movie.name

director	$-director
for	$-for
titanic	B-movie.name

who	$-who
was	$-was
mirror	B-movie.name
's	$-'s
producer	$-producer

please	$-please
give	$-give
me	$-me
a	$-a
dutch	B-country.name
movie	$-movie
listing	$-listing

what	$-what
are	$-are
the	$-the
top	$-top
rated	$-rated
movies	$-movies
this	B-movie.release_date
year	I-movie.release_date

who	$-who
produced	$-produced
the	$-the
movie	$-movie
cars	B-movie.name

list	$-list
films	$-films
concerning	$-concerning
the	$-the
country	$-country
of	$-of
france	B-movie.subject

display	$-display
movies	$-movies
made	$-made
by	$-by
production	$-production
lionsgate	B-producer.name

find	$-find
japanese	B-country.name
movies	$-movies

what	$-what
was	$-was
the	$-the
name	$-name
of	$-of
the	$-the
actor	$-actor
who	$-who
plays	$-plays
victor	B-character.name
on	$-on
young	B-movie.name
and	I-movie.name
the	I-movie.name
restless	I-movie.name

show	$-show
me	$-me
belle	B-movie.name
the	$-the
movie	$-movie
is	$-is
it	$-it
in	$-in
spanish	B-movie.language

budget	$-budget
for	$-for
titanic	B-movie.name
movie	$-movie

what	$-what
language	$-language
is	$-is
the	$-the
movie	$-movie
in	$-in

show	$-show
me	$-me
movies	$-movies
with	$-with
a	$-a
four	B-movie.star_rating
star	$-star
rating	$-rating

what	$-what
is	$-is
the	$-the
top	$-top
rated	$-rated
french	B-country.name
comedy	B-movie.genre

what	$-what
genre	$-genre
is	$-is
superman	B-movie.name

bring	$-bring
up	$-up
spanish	B-movie.language
movies	$-movies

who	$-who
directed	$-directed
the	$-the
movie	$-movie
gilda	B-movie.name

will	$-will
you	$-you
provide	$-provide
a	$-a
list	$-list
of	$-of
movies	$-movies
produced	$-produced
by	$-by
clint	B-producer.name
eastwood	I-producer.name

what	$-what
is	$-is
the	$-the
g	B-rating.name
rating	$-rating

i	$-i
want	$-want
japanese	B-country.name
movies	$-movies

check	$-check
movie	$-movie
in	B-movie.name
july	I-movie.name
information	$-information

can	$-can
you	$-you
show	$-show
me	$-me
movies	$-movies
about	$-about
war	B-movie.subject

who	$-who
was	$-was
the	$-the
lead	$-lead
in	$-in
black	B-movie.name
swan	I-movie.name

i	$-i
want	$-want
to	$-to
see	$-see
movies	$-movies
directed	$-directed
by	$-by
michael	B-director.name
bay	I-director.name

rate	$-rate
r	B-rating.name
movies	$-movies
for	B-rating.name
adult	I-rating.name
